file_name,label,position
backward/0165e0e8_0.wav,backward,1
backward/017c4098_0.wav,backward,0
backward/017c4098_1.wav,backward,0
backward/017c4098_2.wav,backward,2
backward/017c4098_3.wav,backward,4
backward/017c4098_4.wav,backward,0
backward/02ade946_0.wav,backward,2
backward/02ade946_1.wav,backward,7
backward/02ade946_2.wav,backward,1
backward/02ade946_3.wav,backward,4
backward/02ade946_4.wav,backward,9
backward/042a8dde_0.wav,backward,3
backward/042a8dde_1.wav,backward,9
backward/042a8dde_2.wav,backward,3
backward/042a8dde_3.wav,backward,7
backward/050170cb_0.wav,backward,7
backward/050170cb_1.wav,backward,2
backward/050170cb_2.wav,backward,1
backward/050170cb_3.wav,backward,9
backward/050170cb_4.wav,backward,7
backward/0585b66d_0.wav,backward,7
backward/0585b66d_1.wav,backward,7
backward/0585b66d_2.wav,backward,3
backward/0585b66d_3.wav,backward,7
backward/0585b66d_4.wav,backward,8
backward/06f6c194_0.wav,backward,1
backward/06f6c194_1.wav,backward,4
backward/06f6c194_2.wav,backward,4
backward/06f6c194_3.wav,backward,1
backward/06f6c194_4.wav,backward,1
backward/08ab231c_0.wav,backward,8
backward/08ab231c_1.wav,backward,4
backward/08ab231c_2.wav,backward,0
backward/08ab231c_3.wav,backward,4
backward/08ab231c_4.wav,backward,0
backward/0a2b400e_0.wav,backward,8
backward/0a2b400e_1.wav,backward,9
backward/0a2b400e_2.wav,backward,5
backward/0a2b400e_3.wav,backward,9
backward/0a2b400e_4.wav,backward,4
backward/0a396ff2_0.wav,backward,8
backward/0a5636ca_0.wav,backward,3
backward/0b7ee1a0_0.wav,backward,3
backward/0b7ee1a0_1.wav,backward,4
backward/0b7ee1a0_2.wav,backward,7
backward/0b7ee1a0_3.wav,backward,7
backward/0b7ee1a0_4.wav,backward,0
backward/0ba018fc_0.wav,backward,8
backward/0ba018fc_1.wav,backward,7
backward/0ba018fc_2.wav,backward,5
backward/0ba018fc_3.wav,backward,2
backward/0d6d7360_0.wav,backward,5
backward/0d6d7360_1.wav,backward,7
backward/0d6d7360_2.wav,backward,1
backward/0d6d7360_3.wav,backward,4
backward/0d6d7360_4.wav,backward,5
backward/0d85a428_0.wav,backward,1
backward/0d90d8e1_0.wav,backward,4
backward/0d90d8e1_1.wav,backward,8
backward/0d90d8e1_2.wav,backward,3
backward/0d90d8e1_3.wav,backward,0
backward/0e6e36c9_0.wav,backward,8
backward/0e6e36c9_1.wav,backward,6
